sexo,idade,faixa_etaria,cor_raca,escolaridade,horas_trabalho_por_semana,portador_de_deficiencia,tamanho_da_empresa,tempo_no_emprego,remuneracao
1,45,6,99,9,40,0,10,301.5,4785.45
2,49,6,8,5,36,0,2,47.9,1208.73
2,45,6,2,7,36,0,9,86.3,3245.56
2,26,4,8,8,44,0,5,55.6,2692.55
1,25,4,8,4,44,0,4,4.9,1267.38
2,48,6,99,9,30,0,7,208.3,3018.39
1,43,6,9,5,44,0,2,45.9,1143.35
2,33,5,99,7,40,0,10,90.8,1352.75
1,63,7,8,7,44,0,4,90.9,1813.7
1,48,6,2,5,44,0,7,62.3,1608.14
1,28,4,8,7,36,0,10,15.6,1287.58
2,46,6,99,9,30,0,10,85.7,9839.05
1,35,5,8,7,44,0,2,93.9,2967.29
2,33,5,8,8,21,0,6,46.9,2616.84
2,38,5,99,9,30,0,10,133.0,6120.63
1,18,3,4,8,44,0,7,12.1,1239.46
2,34,5,8,9,44,0,5,42.9,6263.02
1,43,6,99,9,40,0,8,85.0,2207.76
1,53,7,99,7,40,0,10,342.5,6952.14
1,32,5,2,9,44,0,7,46.6,1451.51
1,50,7,8,4,44,0,9,4.4,1573.65
1,64,7,2,4,44,1,3,20.9,1364.76
1,28,4,8,8,44,0,7,74.2,897.08
1,32,5,8,7,44,0,9,66.4,1692.01
1,26,4,8,7,44,0,7,15.1,2008.09
2,33,5,8,7,44,0,3,7.6,1044.52
2,43,6,8,9,44,0,9,16.7,2298.28
1,41,6,2,7,44,0,9,143.7,2134.99
1,30,5,99,5,40,0,10,119.6,1486.38
2,35,5,8,7,20,0,9,16.3,1554.13
1,32,5,8,4,44,0,4,117.9,1885.2
1,23,3,8,7,44,0,2,0.9,1188.98
1,31,5,8,9,1,0,6,64.9,467.75
1,41,6,8,7,0,0,9,117.0,995.54
2,48,6,8,7,44,0,8,56.9,1335.76
2,63,7,99,8,30,0,8,369.0,10610.14
2,60,7,9,9,44,0,7,25.8,18625.04
1,30,5,2,5,44,0,4,44.9,1199.06
1,73,8,99,5,40,0,7,241.8,1917.1
1,43,6,8,9,40,0,10,30.5,11274.03
1,44,6,8,8,44,0,7,78.2,8951.11
2,24,3,8,7,24,0,3,0.4,605.34
2,54,7,99,7,40,0,10,222.9,1659.41
2,35,5,99,7,36,0,8,94.9,1494.47
1,42,6,8,9,40,0,6,92.9,1787.94
2,47,6,99,9,40,0,10,221.9,5869.62
1,33,5,8,5,44,0,3,0.4,445.89
2,46,6,99,7,40,0,7,205.5,2096.51
1,52,7,2,7,0,0,9,102.3,4467.64
1,35,5,9,7,44,0,7,0.6,715.21
2,29,4,8,7,44,0,5,36.5,1537.46
2,28,4,2,9,44,0,2,15.3,3106.51
2,25,4,99,9,40,0,10,4.6,3044.27
2,28,4,8,7,44,0,3,0.2,429.32
1,39,5,8,7,44,1,7,1.3,785.07
1,38,5,8,5,44,0,8,194.9,2416.34
1,52,7,8,5,44,0,2,56.9,1418.34
1,47,6,8,7,44,0,3,11.9,2208.77
2,22,3,8,7,36,0,3,9.9,1638.59
2,45,6,99,9,30,0,9,32.9,2696.08
1,37,5,99,9,40,0,10,130.9,5068.95
1,36,5,8,9,40,0,7,39.6,5038.85
2,57,7,99,7,40,0,7,143.8,2947.06
1,53,7,8,7,44,0,9,93.4,1514.1
1,48,6,99,7,40,0,10,246.7,5001.49
2,19,3,8,7,20,0,6,14.7,541.16
2,41,6,8,7,44,0,2,29.9,1235.81
1,50,7,2,7,44,0,6,66.6,1522.8
2,28,4,9,9,40,0,10,6.0,3998.1
1,24,3,8,7,44,0,6,5.7,1293.74
1,49,6,99,9,40,0,10,292.5,3010.14
1,51,7,8,6,44,0,4,113.9,1371.61
2,38,5,8,5,44,0,7,35.9,1311.29
1,28,4,8,7,44,0,10,3.3,1163.06
2,44,6,8,7,44,0,10,66.9,1610.31
2,36,5,8,7,44,0,6,1.6,1165.88
2,28,4,99,9,30,0,10,11.9,1743.38
1,51,7,99,7,44,0,8,47.9,3246.29
1,46,6,9,7,44,0,2,64.9,702.37
1,24,3,8,7,44,0,5,24.9,1268.06
1,52,7,8,9,44,0,3,15.9,2090.82
1,60,7,99,7,40,0,9,387.5,6087.98
2,46,6,99,7,30,0,10,97.1,3539.01
2,31,5,8,7,44,0,9,76.8,2938.22
2,60,7,99,7,40,0,10,438.1,3003.57
2,51,7,99,2,40,0,9,153.9,1809.42
1,59,7,99,7,30,0,8,191.9,2022.33
1,24,3,99,7,40,0,9,8.9,1370.52
2,51,7,99,9,30,0,10,188.3,4112.13
2,48,6,8,7,30,0,10,190.9,1799.46
1,56,7,8,4,44,0,4,32.9,1161.36
1,43,6,8,6,44,0,5,24.8,1576.79
2,44,6,8,9,36,0,7,22.0,3170.01
1,30,5,8,4,44,0,7,6.8,1181.04
2,43,6,8,6,44,0,2,5.9,1040.68
1,29,4,8,6,44,0,5,16.9,1678.44
2,40,6,9,7,44,0,8,38.9,1399.55
1,39,5,8,7,44,0,7,18.5,1339.35
1,66,8,8,4,36,0,10,74.3,1364.94
1,33,5,2,5,44,0,6,123.9,1975.5
2,35,5,99,7,40,0,10,177.6,2143.91
1,45,6,99,3,40,0,9,166.7,1544.97
2,27,4,8,7,44,0,9,20.9,1118.74
2,48,6,8,4,44,0,4,54.9,1086.96
1,38,5,99,9,40,0,8,70.6,5478.64
1,35,5,8,7,44,0,10,1.4,1718.94
1,32,5,8,7,44,0,7,73.6,2631.82
1,21,3,99,6,40,0,10,3.5,1327.13
2,47,6,8,7,44,0,6,59.1,1553.96
1,54,7,8,7,44,0,6,7.3,2870.09
1,34,5,8,4,44,0,7,130.2,3066.85
2,30,5,9,9,44,0,3,93.9,1099.82
2,62,7,99,7,30,0,10,345.8,3536.4
1,23,3,9,7,30,0,3,13.7,736.98
2,30,5,8,7,36,0,10,89.9,2190.1
1,28,4,8,4,40,0,4,8.5,2294.04
1,48,6,8,6,20,1,9,52.3,920.77
1,32,5,99,9,30,0,10,109.8,4997.42
2,40,6,99,8,30,0,6,41.9,1529.0
1,43,6,8,7,44,0,5,1.4,1489.97
2,57,7,2,7,40,0,8,378.2,9251.38
1,59,7,8,7,44,0,4,93.9,2682.77
1,42,6,8,5,44,0,9,4.6,2879.28
1,34,5,8,7,44,0,3,10.9,1754.38
1,29,4,8,5,44,0,10,19.5,1033.01
2,32,5,8,7,44,0,10,4.9,1618.53
1,52,7,8,6,36,0,3,121.9,2089.51
1,38,5,99,7,40,0,10,29.4,1991.38
1,57,7,8,4,44,0,2,81.9,1558.37
1,54,7,99,4,36,0,8,214.1,1294.98
1,22,3,2,7,36,0,2,11.3,1042.95
2,37,5,2,9,44,0,2,4.6,4430.37
2,46,6,99,9,20,0,9,344.9,6216.53
2,27,4,2,9,40,0,7,9.2,1278.72
1,22,3,8,7,44,0,2,19.9,1053.75
1,40,6,8,5,21,0,10,120.9,1036.48
2,50,7,99,9,25,0,10,220.9,2762.21
2,50,7,8,7,40,0,3,9.9,815.02
1,36,5,99,9,20,0,10,130.8,2616.41
1,23,3,8,7,44,0,4,1.7,1312.05
1,20,3,8,7,44,0,6,0.6,1527.25
1,18,3,2,7,44,0,5,6.2,1262.66
2,50,7,99,10,40,0,9,167.9,5063.09
2,63,7,99,4,30,0,9,415.3,1559.08
2,43,6,8,4,44,0,8,118.5,1371.91
2,31,5,8,7,44,0,10,4.6,2988.71
1,26,4,9,7,44,0,7,13.2,1480.72
1,40,6,8,7,44,0,5,24.9,1713.14
1,31,5,9,7,44,0,2,30.9,2185.28
2,62,7,99,7,30,0,10,477.8,2952.86
2,49,6,8,7,44,0,3,16.9,2646.76
1,36,5,8,7,40,0,8,150.5,7599.03
1,43,6,8,4,44,0,4,104.9,1867.47
1,26,4,8,5,44,0,10,5.3,1146.5
2,20,3,8,7,44,0,6,9.4,1324.52
1,44,6,99,9,20,0,9,110.6,5913.6
1,22,3,8,7,44,0,8,24.6,1722.19
2,37,5,99,9,40,0,10,17.2,1911.61
2,35,5,2,7,44,0,4,130.9,1713.16
1,39,5,2,6,44,0,4,0.8,2170.51
1,20,3,8,7,42,0,10,18.5,2083.11
2,32,5,99,7,40,0,10,77.5,1729.76
2,28,4,2,7,44,0,2,11.9,1055.04
2,31,5,9,9,44,0,2,15.3,1254.12
1,61,7,2,9,44,0,10,304.9,10796.06
1,44,6,99,5,40,0,7,215.9,2363.78
2,29,4,8,7,44,0,7,9.9,1786.1
2,50,7,8,7,44,0,8,299.8,1649.56
2,44,6,99,7,40,0,10,77.0,4503.79
2,31,5,2,7,44,0,2,2.0,1381.02
1,37,5,8,7,44,0,3,103.9,1060.9
1,29,4,8,7,44,0,6,35.7,3342.06
1,42,6,2,10,44,0,5,0.9,4682.3
2,51,7,99,5,36,0,10,98.9,1804.65
2,38,5,99,9,36,0,9,117.6,1218.98
2,34,5,9,7,44,0,7,3.2,1261.46
1,28,4,8,9,44,0,4,2.9,2499.35
2,45,6,8,7,44,0,10,2.5,1671.38
1,63,7,99,7,40,0,10,484.9,5141.84
2,36,5,8,7,44,0,3,111.9,2038.84
2,37,5,9,8,44,0,5,24.9,3321.85
2,50,7,99,9,30,0,10,95.7,4927.37
1,51,7,99,9,40,0,10,215.9,6706.93
1,25,4,8,7,24,0,5,13.7,532.24
1,49,6,8,7,36,0,5,5.3,1365.22
2,39,5,99,9,40,0,10,199.9,4948.84
1,26,4,8,7,44,0,5,46.9,2867.28
1,46,6,99,4,40,0,9,194.9,1681.25
1,32,5,8,7,44,0,5,28.9,4777.52
1,58,7,99,9,20,0,10,272.0,2417.76
1,26,4,9,9,25,0,10,6.2,1865.15
1,28,4,8,7,44,0,5,4.8,1508.18
1,28,4,2,8,44,0,4,76.9,1520.0
1,34,5,8,7,44,0,10,7.5,2104.23
1,24,3,8,7,44,0,3,35.9,1304.62
1,24,3,8,7,43,1,9,65.2,1461.16
2,36,5,99,9,40,0,7,48.0,3163.69
1,42,6,9,9,44,0,7,7.2,6201.91
1,37,5,9,9,44,0,9,133.1,4083.11
2,30,5,9,7,44,0,3,40.2,1404.91
2,49,6,8,7,30,0,9,128.8,2108.06
2,47,6,99,9,40,0,10,128.1,5010.91
1,45,6,2,10,40,0,2,2.9,4185.69
1,46,6,9,7,44,0,5,6.9,1334.4
2,24,3,9,8,44,0,2,10.6,1099.95
1,17,2,8,6,44,0,3,9.8,1032.83
2,34,5,99,9,30,0,9,32.2,5956.43
1,56,7,99,3,44,0,10,173.9,1277.16
2,52,7,99,9,40,0,7,47.9,1135.23
1,31,5,2,2,44,0,2,11.9,1047.95
1,36,5,8,7,44,0,6,15.8,1660.24
2,25,4,8,7,44,0,5,4.3,1775.01
2,33,5,8,9,44,0,2,24.5,375.51
2,21,3,8,7,44,0,5,22.9,1278.66
1,37,5,4,7,40,0,5,167.5,8838.23
1,44,6,99,7,30,0,10,10.5,2411.8
2,44,6,99,7,44,0,10,175.6,4615.5
1,34,5,9,7,44,0,2,0.9,1384.06
1,45,6,99,7,20,0,8,177.0,2797.13
2,56,7,99,7,40,0,7,199.8,1401.62
1,28,4,8,7,44,0,7,64.3,1660.31
2,29,4,9,9,12,0,7,15.8,1958.5
2,52,7,8,2,44,0,5,21.3,1674.92
2,40,6,99,7,40,0,10,103.3,1665.86
1,19,3,8,7,44,0,3,13.7,1067.12
1,26,4,8,7,44,0,2,35.9,1184.16
1,50,7,99,7,40,0,10,177.5,3523.0
1,35,5,8,7,42,0,10,4.9,2138.9
2,47,6,99,7,40,0,10,19.9,1104.63
2,50,7,99,7,40,0,9,131.0,819.91
1,43,6,9,7,44,0,6,23.9,2192.39
2,41,6,99,7,40,0,10,86.6,2804.1
1,34,5,2,9,40,0,5,47.9,15189.45
1,39,5,9,7,44,0,7,122.8,2339.08
1,32,5,8,7,44,0,9,8.3,4448.98
1,37,5,99,7,30,0,10,180.0,3922.45
2,37,5,8,7,44,0,2,22.9,1337.61
1,61,7,99,6,30,0,10,380.6,6211.54
1,34,5,9,7,44,0,7,6.3,1110.72
1,53,7,99,7,30,0,8,237.9,5132.23
1,34,5,8,7,44,0,5,97.9,1391.76
1,42,6,2,9,44,0,6,25.9,6122.4
2,43,6,9,7,30,0,6,151.9,1836.95
1,40,6,8,6,44,0,7,130.8,1821.51
1,42,6,8,3,40,0,9,19.9,1911.66
2,33,5,2,7,25,0,2,8.9,767.87
1,45,6,99,9,30,0,10,121.4,14827.43
1,19,3,2,8,30,0,4,15.7,3580.59
2,51,7,8,9,40,0,7,34.9,4787.26
1,32,5,9,7,44,0,5,40.2,1484.77
2,65,8,99,9,30,0,10,365.9,5038.15
2,28,4,8,7,36,0,10,1.6,1214.11
1,40,6,99,7,30,0,8,10.9,4217.86
2,40,6,8,9,22,0,7,23.9,2191.96
1,40,6,8,7,43,0,9,32.5,2199.99
1,39,5,8,6,44,0,3,5.9,1243.68
1,25,4,8,7,44,0,8,20.9,1959.47
2,32,5,8,7,44,0,5,36.3,1089.33
2,33,5,99,7,20,0,10,118.9,2820.57
2,47,6,99,7,40,0,10,107.1,3715.62
1,61,7,2,4,44,0,9,160.9,1190.31
2,56,7,8,7,44,0,2,119.9,1402.32
1,33,5,8,7,44,0,8,54.9,1722.27
2,40,6,99,2,40,0,8,154.6,1237.0
1,34,5,8,7,44,0,6,89.6,2021.25
1,39,5,99,9,20,0,10,45.6,2044.44
2,46,6,9,7,36,0,8,17.9,1504.11
2,57,7,99,2,40,0,10,16.8,1058.85
1,33,5,8,7,44,0,6,100.3,2903.16
1,27,4,8,7,44,0,9,38.4,1325.79
2,50,7,9,7,44,0,4,13.4,1052.5
2,44,6,8,9,44,0,7,250.2,7618.76
2,27,4,8,9,36,0,7,23.5,2121.02
1,42,6,9,7,44,0,2,29.9,1313.39
2,34,5,9,7,40,0,10,21.1,1339.18
1,32,5,2,5,44,0,3,39.9,1524.41
1,49,6,8,6,44,0,4,1.4,1056.36
1,20,3,8,7,44,0,9,3.8,1072.75
2,41,6,99,7,30,0,10,77.0,4146.05
1,68,8,99,2,40,0,10,386.8,3383.32
1,22,3,9,9,44,0,8,75.2,2422.6
2,36,5,8,7,44,0,7,118.5,2795.58
1,25,4,99,5,30,0,10,56.1,1672.58
1,32,5,99,7,30,0,10,150.8,4022.81
2,33,5,9,5,44,1,7,21.4,1074.49
1,38,5,9,7,44,0,5,48.9,1067.68
2,40,6,99,7,30,0,8,100.9,5949.96
2,44,6,99,9,40,0,10,160.9,6720.81
1,42,6,8,7,44,0,5,50.9,3209.33
1,33,5,2,9,44,0,5,3.5,1649.83
1,36,5,99,7,36,0,8,62.2,1346.42
1,46,6,9,5,44,0,8,17.0,1583.56
2,50,7,99,3,40,0,8,198.9,1478.97
1,36,5,9,7,44,0,2,9.6,3668.45
2,55,7,99,9,30,0,10,246.3,5915.16
1,54,7,8,5,44,0,8,30.9,1547.68
1,44,6,8,7,44,0,2,54.9,2494.75
2,52,7,99,7,30,0,10,188.6,2893.53
1,18,3,8,6,20,0,9,10.6,974.01
1,55,7,6,9,36,0,7,122.4,4081.14
1,47,6,8,7,44,0,5,207.1,3023.59
1,30,5,8,5,44,0,8,1.9,1200.55
1,43,6,8,7,44,0,9,197.0,4407.65
2,60,7,99,9,40,0,10,312.7,24405.5
1,38,5,8,3,44,0,9,3.5,1253.88
1,57,7,2,3,40,0,2,159.9,3977.08
2,39,5,99,9,30,0,10,158.9,13897.78
1,28,4,9,8,44,0,5,2.8,3645.36
2,41,6,4,8,44,0,3,56.9,1959.08
2,25,4,8,7,44,0,7,4.4,1060.92
1,38,5,8,7,44,0,10,5.2,3451.69
1,30,5,2,7,44,0,3,49.9,1194.04
1,32,5,9,7,44,0,5,32.7,1529.06
2,46,6,99,9,30,0,10,95.9,3739.95
1,47,6,8,7,44,0,3,9.3,1950.11
1,42,6,9,2,44,0,6,191.9,9746.98
1,27,4,8,5,44,0,9,66.2,1847.9
1,60,7,99,7,40,0,9,449.9,4398.09
2,30,5,8,8,24,0,5,26.9,1211.09
2,26,4,99,7,44,0,10,19.9,1070.26
1,73,8,99,7,40,0,10,337.2,2377.51
1,39,5,2,7,44,0,3,38.9,4704.98
2,39,5,99,3,40,0,7,23.9,2522.41
2,34,5,9,7,36,0,4,9.7,1810.82
1,47,6,8,7,44,0,6,7.2,2436.03
2,31,5,2,7,44,0,7,55.8,2186.36
2,31,5,99,7,40,0,10,117.3,1387.73
1,56,7,99,9,30,0,10,292.5,2526.61
2,20,3,9,7,22,0,10,18.6,688.31
2,33,5,2,9,40,0,5,2.9,10998.86
2,22,3,8,7,20,0,7,22.1,560.17
1,70,8,99,9,30,0,8,442.5,22892.58
2,26,4,8,7,44,0,5,20.7,1396.24
2,47,6,2,8,40,0,4,176.4,2694.35
2,33,5,8,7,44,0,3,46.9,1578.11
2,55,7,99,4,40,0,8,272.2,2739.43
1,44,6,99,5,30,0,7,155.1,2258.93
2,40,6,99,9,30,0,10,76.6,2462.91
2,50,7,9,6,44,0,7,20.9,1226.95
2,48,6,9,7,44,0,5,119.9,2579.78
1,46,6,2,9,44,0,6,0.9,1193.69
1,22,3,8,5,44,0,2,18.9,1432.54
1,24,3,8,7,44,0,2,11.5,1020.72
1,65,8,8,2,44,0,6,58.9,1431.1
2,27,4,8,7,44,0,9,31.7,1189.84
1,38,5,8,6,44,0,8,8.5,1385.15
1,50,7,8,9,44,0,8,0.5,8422.25
1,26,4,8,7,44,0,7,6.7,1247.94
2,32,5,99,9,40,0,10,23.9,2013.8
1,27,4,9,7,44,0,7,29.9,2007.42
2,41,6,99,9,40,0,10,248.5,3193.91
2,51,7,9,7,44,0,4,131.9,1551.58
2,32,5,8,7,44,0,3,0.3,524.55
1,49,6,4,4,44,0,3,39.5,1562.51
1,57,7,99,9,30,0,8,46.8,6668.25
1,35,5,8,4,44,0,10,121.4,1804.52
2,25,4,8,6,44,0,4,33.9,928.52
2,23,3,99,9,40,0,10,4.4,3439.25
2,29,4,99,9,40,0,10,71.7,7181.52
2,31,5,2,7,44,0,5,44.9,1244.79
1,22,3,9,7,44,0,3,9.6,1180.14
2,30,5,8,7,22,0,2,16.8,798.13
1,32,5,8,5,44,0,10,21.6,1071.58
1,57,7,99,5,30,0,10,379.2,4954.0
2,34,5,8,7,36,0,8,62.9,2682.67
2,37,5,99,9,30,0,8,5.1,4349.64
1,49,6,8,4,36,0,3,196.5,1991.96
1,37,5,4,7,40,0,10,10.6,1344.19
2,32,5,9,7,44,0,3,16.9,1164.97
2,31,5,2,7,44,0,7,84.3,1507.14
1,24,3,8,3,44,0,10,3.3,1042.23
1,41,6,8,7,44,0,2,29.4,1748.08
1,43,6,99,7,40,0,9,250.9,1389.48
1,25,4,8,7,44,0,5,14.6,4132.78
1,38,5,8,7,44,0,3,9.9,1506.03
2,33,5,2,7,44,0,5,21.9,573.64
1,55,7,4,8,44,0,5,105.5,4500.21
2,33,5,8,7,30,0,2,76.3,1171.31
1,33,5,2,9,40,0,6,136.2,12015.33
2,19,3,8,7,44,0,4,1.9,1313.62
1,63,7,8,7,38,0,9,508.9,4295.04
2,51,7,99,7,40,0,10,154.3,3605.7
1,42,6,8,7,44,0,8,42.9,1237.31
2,42,6,8,9,36,0,10,10.9,3730.44
2,35,5,8,6,44,0,2,39.9,1216.72
2,30,5,99,9,40,0,10,71.8,3225.97
1,23,3,8,5,44,0,5,4.6,1028.26
2,17,2,9,6,20,0,8,13.4,536.29
2,52,7,99,9,40,0,10,285.8,8527.8
1,30,5,9,9,44,0,9,11.8,7414.93
2,53,7,99,9,36,0,9,94.4,4279.31
1,40,6,8,8,40,0,7,158.0,18078.82
2,38,5,8,7,44,0,7,37.9,1300.88
2,26,4,8,9,44,0,7,32.5,3051.33
1,53,7,8,7,44,0,7,2.9,1247.53
2,36,5,99,9,40,0,10,130.1,1855.18
2,56,7,99,7,40,0,10,407.9,4978.94
1,45,6,99,9,40,0,9,78.6,11258.74
2,59,7,9,9,44,0,5,42.8,4421.3
1,49,6,2,5,44,0,5,159.8,3866.15
2,38,5,99,9,30,0,10,179.6,10250.03
2,28,4,99,9,40,0,10,19.1,3532.96
1,34,5,2,8,44,0,2,40.3,2056.39
1,35,5,9,3,44,0,10,94.5,1124.04
1,27,4,9,7,44,0,7,29.6,1443.87
2,26,4,9,7,44,0,4,11.1,1578.0
1,35,5,8,7,44,0,8,7.9,1416.8
1,24,3,8,7,44,0,7,28.6,1692.87
1,54,7,8,7,44,0,6,55.9,3326.31
2,45,6,99,7,40,0,7,273.9,2593.1
1,32,5,9,7,44,0,6,18.9,1686.69
2,44,6,2,6,44,0,4,37.9,1308.41
2,54,7,99,10,40,0,10,430.6,7735.73
1,59,7,99,7,30,0,10,351.1,7871.74
2,47,6,99,9,30,0,10,2.2,1748.77
2,22,3,8,7,44,0,2,1.6,1107.26
2,44,6,99,9,44,0,10,151.7,3910.3
2,37,5,99,9,30,0,10,145.5,4897.85
2,33,5,8,7,44,0,9,19.8,2166.16
2,41,6,99,7,30,0,10,108.6,2298.05
1,18,3,2,6,30,0,9,16.8,522.84
2,48,6,99,9,30,0,10,277.8,3736.97
1,31,5,99,9,30,0,10,26.6,5860.79
1,43,6,99,7,30,0,7,188.9,1290.51
1,52,7,9,7,44,0,2,9.9,1081.88
1,42,6,8,7,44,0,4,60.9,1514.64
2,19,3,8,7,44,0,5,0.4,539.5
2,51,7,9,9,44,0,5,16.0,920.75
1,25,4,8,6,44,0,3,10.9,1150.9
1,35,5,8,9,44,0,3,33.9,889.23
1,25,4,8,7,44,0,4,14.2,1240.57
2,45,6,8,7,44,0,5,2.4,1182.95
2,46,6,9,7,44,0,4,6.9,1057.95
2,37,5,9,7,44,0,2,17.9,1035.09
1,27,4,8,7,44,0,9,10.8,1051.22
1,52,7,99,7,44,0,10,4.9,1018.83
1,26,4,8,7,44,0,10,5.3,1767.93
1,51,7,99,9,40,0,7,269.9,14746.56
2,41,6,99,7,40,0,10,141.3,2631.34
2,49,6,8,9,30,0,7,6.9,2102.71
1,30,5,8,7,44,0,2,37.9,702.47
1,38,5,8,7,44,0,5,103.3,1976.0
1,40,6,8,7,44,0,7,2.3,1877.04
2,42,6,8,7,44,0,3,26.2,2004.18
1,26,4,8,7,44,0,4,105.9,2402.72
1,33,5,8,6,36,0,9,76.9,1455.97
2,30,5,99,5,40,0,10,123.9,1252.35
1,32,5,8,9,44,0,5,66.9,3020.67
1,49,6,8,10,44,0,3,67.9,2069.88
2,64,7,99,7,40,0,10,20.6,1530.71
1,55,7,99,7,30,0,10,359.9,1416.39
1,22,3,8,7,44,0,4,2.9,1064.76
2,42,6,99,9,30,0,7,178.3,2941.58
2,52,7,99,9,44,0,6,367.8,2647.1
1,23,3,8,7,44,0,10,0.7,996.29
1,35,5,9,4,44,0,6,8.5,1110.1
1,56,7,99,9,40,0,10,224.4,21402.1
2,57,7,8,5,36,0,5,66.9,1086.72
1,33,5,8,7,44,0,6,32.8,1031.18
2,29,4,8,7,44,0,2,44.6,894.02
2,41,6,99,9,30,0,10,85.1,1747.82
2,31,5,99,9,30,0,10,10.1,3380.64
1,21,3,8,7,44,0,3,1.6,869.54
1,39,5,8,2,44,0,8,2.1,1251.72
1,49,6,99,9,30,0,10,43.1,10624.4
2,36,5,99,9,36,0,10,109.9,1540.83
1,46,6,2,7,44,0,4,44.9,2318.6
1,27,4,2,7,44,0,5,4.9,2265.43
1,25,4,2,7,44,0,3,1.8,1391.39
1,49,6,99,7,40,0,7,165.5,3643.13
1,64,7,8,7,44,0,5,23.4,1122.49
1,30,5,8,2,44,0,5,49.7,1274.93
2,35,5,99,9,35,0,9,213.9,3061.71
1,32,5,99,9,40,0,7,22.9,5109.44
1,42,6,8,7,44,0,8,20.9,4130.93
1,26,4,8,3,44,0,4,27.8,1665.99
2,38,5,99,9,40,0,10,111.3,1604.36
1,33,5,9,7,36,0,4,20.2,1375.11
2,31,5,9,7,44,0,10,11.7,1384.02
2,32,5,8,7,44,0,9,51.5,1869.88
1,40,6,9,7,44,0,3,11.7,1332.27
1,22,3,8,7,36,0,8,0.6,816.62
1,22,3,4,7,44,0,5,15.4,1176.39
1,30,5,8,7,44,0,3,4.1,1178.42
1,37,5,99,9,40,0,10,57.9,7703.75
1,46,6,9,7,36,0,2,10.9,1283.39
2,28,4,8,7,44,0,4,55.2,1085.64
1,57,7,8,7,44,0,8,234.9,12943.99
1,25,4,8,8,44,0,4,3.3,1076.0
1,51,7,2,7,44,0,8,23.5,3868.71
1,44,6,2,7,44,0,7,118.9,9447.55
2,62,7,99,7,30,0,10,59.9,2057.17
1,34,5,8,9,44,1,9,1.7,983.23
1,26,4,8,7,44,0,9,0.4,585.45
1,31,5,8,7,44,0,10,43.4,1350.21
2,47,6,8,7,44,0,10,134.9,972.83
1,53,7,8,2,44,1,7,23.4,2660.88
1,33,5,8,9,44,0,10,12.7,1437.49
1,37,5,8,7,44,0,3,65.9,1699.82
1,65,8,99,2,40,0,7,166.9,1364.37
2,46,6,99,4,36,0,10,190.9,1633.63
1,45,6,4,8,36,0,5,147.5,3727.39
1,34,5,8,7,44,0,8,57.7,2316.06
2,33,5,99,7,30,0,9,145.7,1047.09
1,61,7,99,7,36,0,7,85.9,1095.35
2,44,6,99,9,40,0,10,247.9,25674.38
1,21,3,8,7,44,0,6,13.5,1182.14
1,43,6,8,7,44,0,5,5.9,1775.62
1,25,4,8,7,44,0,5,18.8,1306.41
2,45,6,99,7,40,0,10,165.1,1185.0
2,26,4,4,9,44,0,2,35.9,1135.15
1,33,5,9,7,44,0,8,5.8,4604.04
