sexo,idade,faixa_etaria,cor_raca,escolaridade,horas_trabalho_por_semana,portador_de_deficiencia,tamanho_da_empresa,tempo_no_emprego
1,43,6,99,9,36,0,10,149.4
1,51,7,99,9,30,0,7,140.0
1,42,6,8,4,44,0,4,129.9
1,28,4,2,9,36,0,3,86.3
2,48,6,99,5,30,0,7,297.9
2,32,5,8,9,44,0,9,37.8
2,28,4,99,9,20,0,10,37.1
2,35,5,99,7,30,0,10,177.2
2,44,6,99,9,30,0,10,113.2
1,56,7,8,7,44,0,10,181.6
1,43,6,99,7,40,0,9,250.9
2,25,4,8,7,44,0,8,1.4
1,33,5,9,7,44,0,2,33.1
1,58,7,99,7,40,0,9,211.9
1,48,6,8,9,44,0,6,189.5
2,41,6,99,9,30,0,8,14.9
1,56,7,99,7,30,0,10,237.9
1,24,3,8,2,44,0,4,2.7
2,63,7,99,7,30,0,10,358.9
1,34,5,9,7,44,0,6,26.4
1,40,6,8,7,44,0,8,194.7
1,60,7,8,9,5,0,6,112.9
1,39,5,8,7,44,0,8,0.9
2,45,6,99,5,40,0,10,295.2
1,26,4,9,7,44,0,2,24.5
1,43,6,8,4,44,0,6,64.6
2,40,6,99,9,30,0,10,95.9
2,27,4,8,7,44,0,3,1.3
1,26,4,9,7,44,0,3,38.7
1,24,3,8,7,44,0,7,20.9
2,38,5,8,7,36,0,5,38.9
1,38,5,9,9,40,0,7,45.8
1,33,5,8,6,44,0,7,113.1
1,37,5,2,9,40,0,10,28.3
1,61,7,2,7,44,0,8,11.4
1,39,5,99,7,30,0,9,110.6
1,33,5,9,7,44,0,2,9.9
1,40,6,8,9,28,0,6,35.8
1,30,5,8,5,44,0,9,31.7
1,47,6,8,7,30,0,7,25.4
1,43,6,8,4,44,0,9,30.3
1,33,5,9,7,44,0,9,2.5
1,47,6,99,5,40,0,8,174.6
1,31,5,2,2,44,0,2,11.9
2,43,6,9,7,33,0,10,38.4
2,37,5,8,7,30,0,6,126.3
1,47,6,99,9,30,0,10,174.0
2,40,6,99,9,25,0,10,2.1
1,46,6,9,7,44,0,2,21.9
1,36,5,8,7,44,0,5,6.5
2,57,7,99,7,30,0,9,259.9
1,51,7,99,2,40,0,8,231.6
2,56,7,4,7,44,0,4,40.9
1,43,6,9,4,44,0,10,73.5
2,67,8,99,7,40,0,10,439.8
1,46,6,99,7,30,0,10,270.2
2,36,5,9,2,40,0,10,10.5
1,56,7,99,9,30,0,10,347.2
1,39,5,4,5,44,0,2,14.9
1,35,5,99,9,30,0,10,70.6
2,31,5,99,11,40,0,10,42.8
1,29,4,8,7,40,0,2,25.9
1,49,6,8,7,36,0,5,5.3
2,45,6,99,7,32,0,9,167.9
1,50,7,8,7,44,0,10,32.9
1,40,6,9,5,44,0,4,163.9
1,41,6,99,9,40,0,10,164.9
2,45,6,99,7,30,0,10,177.0
1,41,6,8,5,44,0,9,254.8
2,47,6,2,7,44,0,3,143.9
1,43,6,99,7,40,0,7,33.9
1,49,6,99,7,40,0,7,368.9
1,28,4,8,7,44,0,5,78.9
2,46,6,8,9,36,0,9,31.9
2,45,6,99,5,40,0,10,23.1
1,27,4,99,9,40,0,9,49.3
2,33,5,8,7,44,0,8,2.1
1,33,5,2,7,44,0,10,56.9
2,35,5,8,7,44,0,10,8.4
1,34,5,9,7,44,0,3,28.4
2,26,4,8,7,44,0,3,82.9
1,38,5,9,9,44,0,5,3.7
1,49,6,8,7,44,0,9,118.5
2,54,7,99,5,30,0,10,245.4
1,52,7,8,7,44,0,5,62.5
1,29,4,8,7,36,0,6,104.9
1,34,5,8,2,44,0,10,2.5
1,44,6,2,9,9,0,5,83.0
2,54,7,99,9,30,0,10,102.8
1,62,7,99,7,40,0,10,464.9
2,43,6,8,6,40,0,6,34.3
2,49,6,99,9,20,0,10,173.3
2,21,3,2,7,44,0,2,32.9
1,39,5,8,7,40,0,5,23.9
1,44,6,9,5,40,0,9,19.4
1,49,6,8,7,44,0,3,17.4
2,29,4,99,9,40,0,10,44.8
2,62,7,99,5,30,0,10,414.5
1,39,5,2,4,42,0,5,0.2
1,49,6,8,4,44,0,9,47.3
2,55,7,8,7,44,0,5,22.8
2,47,6,99,7,44,0,10,157.9
2,50,7,9,7,44,0,4,13.4
1,48,6,9,7,44,0,2,15.9
2,54,7,99,8,40,0,10,10.9
2,23,3,99,7,30,0,9,57.8
2,19,3,9,7,44,0,3,0.9
2,40,6,99,9,35,0,8,188.3
1,55,7,9,7,44,0,4,84.6
2,52,7,8,6,44,0,6,37.9
1,20,3,8,7,44,0,8,10.9
2,35,5,9,7,44,0,5,42.9
1,48,6,8,2,44,0,3,10.6
1,40,6,8,6,44,0,8,144.4
2,35,5,8,7,44,0,4,100.4
1,34,5,8,7,38,0,10,120.5
1,49,6,8,7,40,0,10,117.5
2,32,5,99,7,30,0,10,10.0
2,51,7,99,7,30,0,10,59.9
2,42,6,9,9,44,0,6,2.3
1,51,7,8,5,36,0,10,38.4
1,52,7,8,7,44,0,5,44.6
1,63,7,8,5,44,0,8,11.8
1,27,4,99,9,40,0,10,16.9
2,34,5,8,5,44,0,7,87.9
1,59,7,8,7,44,0,5,88.9
1,25,4,8,7,44,0,9,4.9
2,36,5,8,7,44,0,5,4.9
1,23,3,2,7,44,0,4,2.0
2,18,3,2,6,44,0,2,0.2
2,29,4,8,5,44,0,6,90.2
1,67,8,8,4,44,0,4,100.9
1,25,4,2,7,44,0,5,25.5
1,37,5,8,7,44,0,5,34.9
1,25,4,8,7,44,0,3,59.3
2,22,3,2,7,44,0,3,45.9
2,19,3,2,7,44,0,5,3.9
2,42,6,2,7,44,0,4,12.9
1,38,5,99,9,30,0,7,45.9
1,35,5,8,7,44,0,7,137.5
1,44,6,99,7,44,0,8,177.6
1,32,5,9,7,44,0,3,34.9
1,39,5,9,5,44,0,4,80.9
2,29,4,99,9,36,0,10,10.6
2,23,3,9,7,44,0,2,40.7
1,54,7,99,7,40,0,8,322.9
1,28,4,99,7,30,0,10,28.8
1,31,5,2,9,40,0,3,9.6
2,20,3,9,7,44,0,4,12.9
2,38,5,99,9,30,0,10,84.4
2,45,6,2,9,37,0,8,146.7
2,18,3,8,6,20,0,7,11.3
2,29,4,2,9,16,0,8,9.9
1,27,4,9,3,44,0,5,28.3
1,35,5,99,7,30,0,10,85.5
1,24,3,9,5,44,0,5,2.9
2,48,6,99,9,40,0,8,111.9
2,22,3,9,7,44,0,3,36.9
2,55,7,99,9,40,0,10,307.9
2,45,6,99,5,40,0,8,131.1
2,58,7,99,9,44,0,10,419.6
2,33,5,99,7,20,0,10,118.9
1,34,5,8,7,44,0,2,21.4
1,34,5,99,7,30,0,10,27.5
1,32,5,8,7,44,0,6,69.9
1,27,4,2,7,44,0,4,9.4
1,37,5,8,7,44,0,5,85.3
1,27,4,2,7,36,0,3,1.6
1,61,7,99,7,40,0,10,108.7
1,40,6,8,7,44,0,5,24.9
1,49,6,8,7,44,0,3,0.9
2,38,5,8,7,40,0,10,10.6
2,43,6,8,6,44,0,5,42.9
2,40,6,8,7,36,0,9,51.3
1,47,6,8,7,44,0,6,2.6
1,33,5,2,6,44,0,5,19.8
1,24,3,8,7,44,0,5,28.9
1,20,3,8,7,44,0,10,17.2
2,35,5,8,7,44,0,4,85.9
1,57,7,8,7,42,0,10,420.9
1,44,6,2,1,44,0,6,0.7
2,49,6,99,9,30,0,10,18.9
2,27,4,2,9,44,0,5,67.4
1,34,5,8,6,44,0,6,45.8
1,56,7,8,4,44,0,8,185.5
1,49,6,8,5,44,0,8,14.6
2,22,3,9,7,36,0,5,20.4
1,42,6,8,7,40,0,10,9.8
2,29,4,8,8,44,0,7,93.8
2,41,6,9,7,40,0,10,16.0
1,46,6,99,7,40,0,10,31.9
2,49,6,99,4,30,0,7,325.9
2,36,5,2,7,44,0,2,27.9
1,39,5,9,7,44,0,3,23.4
1,47,6,8,7,44,0,10,44.4
2,34,5,8,7,44,1,5,23.9
1,46,6,99,4,40,0,9,194.9
2,29,4,99,5,40,0,10,52.8
1,65,8,99,9,30,0,10,325.1
1,26,4,1,7,44,0,10,21.9
2,29,4,8,7,44,0,4,41.9
2,42,6,99,9,30,0,10,53.5
1,34,5,9,7,44,0,3,14.2
2,50,7,99,9,40,0,10,221.9
1,46,6,8,2,44,0,3,4.9
1,44,6,8,7,44,0,9,3.9
1,49,6,99,3,30,0,8,274.6
2,37,5,8,7,44,0,8,87.9
1,44,6,99,7,36,0,10,149.4
2,55,7,99,7,44,0,5,319.9
2,48,6,99,9,20,0,9,210.9
1,59,7,8,7,44,0,5,152.9
2,24,3,8,7,44,0,7,30.4
2,54,7,8,7,44,1,10,66.8
2,43,6,8,7,44,0,10,20.4
1,42,6,9,7,44,0,4,33.9
2,33,5,8,6,44,0,3,58.9
1,51,7,99,7,40,0,10,364.7
2,30,5,8,6,44,0,6,66.9
1,34,5,2,7,44,0,6,51.9
2,33,5,8,2,44,0,2,10.9
1,23,3,8,5,44,0,2,6.6
2,32,5,99,9,40,0,10,34.0
1,28,4,8,5,44,0,7,56.9
2,26,4,2,7,44,0,9,3.3
1,58,7,99,9,40,0,10,195.6
1,20,3,9,7,20,0,6,18.6
1,24,3,8,6,44,0,4,13.9
2,35,5,8,9,44,0,8,37.9
1,50,7,8,7,44,0,10,115.9
1,32,5,9,7,44,0,5,2.5
1,32,5,8,6,44,0,6,90.5
1,34,5,6,9,40,0,9,11.2
1,45,6,8,7,44,0,8,10.3
2,57,7,99,11,30,0,10,107.0
1,46,6,9,7,44,0,2,13.9
1,22,3,9,4,44,0,2,2.0
2,69,8,99,7,40,0,10,453.8
2,36,5,8,7,40,0,8,148.8
2,37,5,99,7,40,0,2,201.9
1,22,3,8,7,44,0,4,0.9
2,48,6,2,7,44,0,4,97.9
2,21,3,8,7,44,0,4,5.9
1,21,3,9,7,44,0,3,2.8
2,34,5,8,7,44,0,3,140.9
1,31,5,99,9,40,0,10,104.9
1,58,7,8,7,44,0,5,29.9
1,38,5,8,7,44,0,8,3.8
2,33,5,8,7,44,0,3,13.7
2,20,3,9,7,44,0,2,5.4
2,46,6,8,7,44,1,7,112.9
2,61,7,99,7,40,0,6,231.3
1,48,6,99,7,40,0,10,46.9
1,25,4,99,7,40,0,7,33.1
2,43,6,8,4,36,0,10,219.8
1,31,5,9,7,44,0,5,15.1
1,45,6,8,7,36,0,10,68.5
1,39,5,2,7,44,0,3,38.9
2,35,5,99,7,36,0,8,94.9
2,30,5,9,7,36,0,3,1.9
1,66,8,99,9,30,0,8,479.7
1,52,7,99,7,40,0,10,395.8
1,39,5,8,7,44,0,8,34.2
1,33,5,9,7,44,0,9,6.9
1,28,4,8,7,44,0,3,1.9
2,34,5,9,9,0,0,3,3.9
1,30,5,9,7,44,1,5,28.9
1,27,4,99,7,40,0,10,64.9
1,38,5,99,9,24,0,10,157.3
1,27,4,9,9,40,0,10,17.9
2,28,4,9,9,44,0,5,14.0
2,23,3,8,7,44,0,8,2.1
2,24,3,8,7,44,0,4,0.9
1,31,5,99,9,44,0,10,78.7
1,40,6,8,7,36,0,7,2.9
1,32,5,99,9,30,0,8,14.7
2,61,7,8,7,44,0,2,4.9
2,31,5,9,7,44,0,4,31.8
1,27,4,8,6,44,0,9,102.9
1,28,4,9,7,36,0,5,53.5
1,48,6,4,7,36,0,9,139.9
1,26,4,8,7,44,0,7,79.4
2,44,6,99,9,42,0,9,135.4
1,36,5,2,7,44,0,7,27.2
1,23,3,8,7,36,0,8,6.9
1,36,5,9,7,44,0,2,29.9
1,38,5,8,7,42,0,7,41.5
1,34,5,8,7,38,0,10,110.4
1,57,7,8,9,44,0,9,131.9
2,26,4,2,7,44,0,2,2.9
2,39,5,99,9,40,0,8,153.5
2,38,5,2,9,26,0,5,47.7
2,54,7,8,9,44,0,7,231.9
2,43,6,8,7,44,1,10,10.9
2,45,6,9,7,22,0,2,61.9
1,35,5,2,7,44,0,3,9.9
1,31,5,99,7,30,0,10,85.5
2,30,5,9,7,44,0,2,10.4
2,29,4,9,9,30,0,10,11.5
1,49,6,9,3,44,0,4,66.9
1,27,4,2,7,44,0,6,0.9
2,40,6,99,7,40,0,8,224.7
1,40,6,8,5,44,0,7,48.5
2,61,7,99,7,20,0,10,427.9
1,24,3,9,6,44,0,4,2.9
2,50,7,99,9,25,0,10,21.9
1,47,6,8,7,44,0,5,40.9
1,35,5,8,7,44,0,6,152.2
2,33,5,2,9,40,0,3,21.4
1,45,6,99,7,40,0,9,197.5
1,34,5,8,7,44,0,3,31.9
2,38,5,8,5,44,0,5,81.9
1,33,5,8,7,38,0,10,32.6
1,54,7,99,9,44,0,10,263.5
1,35,5,8,5,44,0,8,91.7
1,48,6,99,9,40,0,9,370.9
1,42,6,99,7,40,0,10,208.8
2,57,7,99,7,40,0,10,173.0
1,32,5,99,7,44,0,10,83.9
1,35,5,4,4,44,0,4,1.9
2,33,5,9,9,36,0,5,0.6
2,40,6,99,9,40,0,9,80.9
1,19,3,8,7,44,0,5,7.7
2,36,5,99,9,36,0,10,102.9
1,37,5,99,9,40,0,10,43.0
1,37,5,8,7,44,0,9,6.9
2,35,5,8,7,44,0,5,33.8
1,48,6,99,7,40,0,10,165.0
1,30,5,8,7,44,0,2,91.9
1,36,5,8,9,44,0,5,10.9
2,23,3,8,9,44,0,5,1.2
1,22,3,2,7,44,0,8,19.5
1,27,4,8,7,36,0,5,45.5
1,19,3,8,7,44,0,10,0.7
1,24,3,8,4,44,0,4,15.9
1,33,5,8,8,44,0,5,47.0
2,36,5,4,7,44,0,10,1.4
2,46,6,99,9,16,0,9,164.9
2,63,7,4,7,44,0,8,125.9
2,22,3,2,8,44,0,3,14.2
1,26,4,9,7,44,0,5,82.5
1,26,4,8,7,44,0,2,22.8
2,50,7,2,9,40,0,10,115.9
2,46,6,8,9,13,0,5,9.4
2,32,5,99,5,40,0,10,75.9
2,38,5,8,9,30,0,2,5.7
1,39,5,8,7,44,0,5,26.9
1,40,6,4,7,44,0,4,38.4
1,28,4,9,7,44,0,8,15.2
1,40,6,99,7,30,0,9,186.6
1,23,3,8,6,44,0,7,66.1
1,29,4,8,5,44,0,9,17.7
1,22,3,9,7,44,0,4,11.4
2,28,4,2,9,44,0,6,11.8
2,29,4,99,9,30,0,9,3.6
2,55,7,2,9,44,0,2,142.9
2,33,5,99,9,36,0,9,5.9
2,48,6,9,7,44,0,6,18.1
1,37,5,8,7,38,0,10,106.9
2,35,5,2,7,44,0,8,48.9
1,43,6,99,9,20,0,10,194.8
1,34,5,99,9,30,0,9,13.6
1,45,6,8,7,44,0,5,12.9
1,41,6,8,7,44,0,9,198.9
1,36,5,9,7,44,0,8,2.9
1,41,6,99,5,40,0,10,173.9
1,27,4,4,3,44,0,8,18.9
1,44,6,99,7,40,0,10,268.3
1,22,3,8,7,44,0,9,39.9
2,38,5,99,7,44,0,10,165.9
1,23,3,9,7,44,0,3,25.3
1,26,4,9,7,44,0,4,11.9
1,27,4,8,7,0,0,10,9.1
2,51,7,99,9,32,0,8,166.6
1,57,7,99,7,30,0,10,445.9
1,48,6,8,6,44,0,7,55.3
2,53,7,99,7,40,0,9,183.0
2,48,6,99,7,44,0,10,136.8
1,53,7,99,9,40,0,6,300.9
2,33,5,99,7,40,0,10,23.5
2,37,5,8,7,44,0,6,6.9
2,33,5,99,9,40,0,10,107.2
2,35,5,8,9,30,0,5,84.8
2,64,7,99,9,40,0,10,307.5
2,57,7,99,9,30,0,9,396.9
2,32,5,8,9,36,0,8,52.6
1,28,4,2,5,44,0,5,5.1
1,26,4,9,8,44,0,5,31.9
2,32,5,8,7,44,0,5,14.0
1,29,4,2,4,44,0,8,12.4
1,30,5,8,9,44,0,4,10.5
1,32,5,2,7,44,1,7,20.9
2,20,3,2,8,30,0,5,21.9
2,43,6,99,9,20,0,10,3.0
2,48,6,99,7,34,0,10,106.9
2,21,3,9,7,44,0,5,3.9
1,35,5,8,7,44,0,7,107.9
1,26,4,9,7,44,0,4,46.7
2,53,7,99,9,30,0,10,344.2
1,43,6,8,9,30,0,3,91.5
1,35,5,8,7,36,0,4,16.9
1,36,5,99,7,30,0,9,68.2
1,34,5,99,7,40,0,10,107.6
1,33,5,9,9,40,0,10,6.9
1,37,5,8,7,44,0,8,7.8
1,16,2,8,5,20,0,4,18.3
2,41,6,99,7,40,0,9,153.9
1,34,5,9,7,36,0,8,36.0
1,41,6,8,7,44,0,4,66.9
2,33,5,99,7,40,0,4,95.4
2,28,4,8,9,44,0,5,20.1
2,26,4,2,7,44,0,5,12.9
1,38,5,8,6,44,0,7,111.1
1,26,4,9,7,44,0,3,17.9
2,44,6,99,9,40,0,10,225.9
2,54,7,99,9,40,0,10,215.9
1,31,5,8,6,44,0,6,47.9
2,24,3,9,2,40,0,10,21.7
1,31,5,8,7,38,0,9,3.9
2,38,5,8,3,44,0,2,44.6
1,44,6,9,7,44,0,7,11.5
1,37,5,99,9,40,0,10,52.8
1,38,5,8,7,36,0,8,5.4
2,40,6,99,7,40,0,10,186.9
2,44,6,99,9,30,0,10,153.1
1,49,6,8,4,44,0,10,90.5
1,45,6,9,7,44,0,3,61.0
1,23,3,8,7,44,0,6,19.8
2,37,5,8,7,44,0,2,127.9
1,42,6,8,7,44,0,10,104.4
2,37,5,8,3,44,0,4,39.9
1,27,4,8,7,44,0,9,38.4
1,26,4,9,7,44,0,4,18.3
1,35,5,8,6,36,0,6,11.9
1,34,5,8,7,44,0,5,97.9
1,33,5,8,4,44,0,2,155.9
1,27,4,9,7,44,0,7,0.3
2,36,5,99,7,30,0,10,118.9
2,38,5,9,7,44,0,2,19.9
2,52,7,99,7,40,0,7,160.8
2,30,5,99,5,30,0,10,143.7
1,44,6,9,7,44,1,10,45.3
1,24,3,8,7,44,0,3,12.8
1,46,6,8,7,44,0,8,8.2
1,33,5,8,7,44,0,4,25.8
1,19,3,9,5,44,0,5,2.4
1,37,5,99,7,44,0,9,151.9
1,25,4,8,7,44,0,5,7.9
1,62,7,99,7,30,0,10,138.2
1,36,5,9,7,44,0,5,41.9
2,30,5,8,5,36,0,5,3.2
2,44,6,9,7,44,0,7,61.9
2,29,4,8,4,44,0,4,41.8
2,31,5,99,9,40,0,10,172.9
2,50,7,8,2,44,0,4,36.9
1,52,7,9,6,44,0,4,63.9
1,56,7,2,7,30,0,3,393.8
1,41,6,99,9,40,0,10,173.4
2,38,5,8,7,25,0,5,105.9
1,22,3,8,7,44,0,3,74.9
2,52,7,99,4,44,0,9,176.9
1,24,3,8,6,44,0,4,26.9
1,39,5,8,9,44,0,7,5.7
1,24,3,8,7,44,0,3,19.9
1,30,5,8,7,36,0,10,74.8
1,40,6,99,7,40,0,10,13.4
1,34,5,99,7,40,0,6,115.4
1,64,7,99,7,40,0,10,203.1
1,36,5,8,3,44,0,2,9.9
1,18,3,2,7,44,0,2,0.4
2,25,4,8,7,44,0,2,30.9
1,38,5,8,6,44,0,8,33.0
2,57,7,99,7,25,0,10,263.1
2,33,5,8,7,36,0,2,67.3
1,40,6,2,7,36,1,8,78.4
1,51,7,8,7,44,0,4,119.3
1,34,5,8,9,44,0,3,23.7
2,26,4,4,9,44,0,2,35.9
1,54,7,2,9,0,0,2,115.9
2,19,3,4,6,20,0,6,22.4
2,44,6,99,7,40,0,3,73.7
1,34,5,8,9,44,0,4,104.5
2,49,6,99,9,30,0,7,11.5
1,45,6,4,4,41,0,10,17.9
1,50,7,99,9,40,0,10,173.8
1,23,3,8,7,44,0,7,26.3
1,52,7,99,7,40,0,10,279.5
1,23,3,8,4,44,0,3,3.8
2,40,6,8,5,44,0,9,59.4
1,30,5,8,7,42,1,5,2.9
1,38,5,99,9,30,0,10,111.7
2,22,3,8,7,44,0,5,37.3
2,41,6,99,9,44,0,10,58.1
1,59,7,8,3,44,0,6,75.9
1,47,6,4,2,44,0,10,185.3
1,42,6,8,4,13,0,10,56.3
1,51,7,2,7,34,0,6,201.9
1,37,5,99,4,36,0,10,11.9
1,40,6,8,11,44,0,9,15.6
2,53,7,8,7,36,0,7,3.9
1,41,6,9,7,44,0,2,25.9
1,41,6,8,7,30,0,6,201.0
1,34,5,8,4,44,0,9,34.9
1,49,6,99,5,40,0,7,169.9
1,35,5,9,7,36,0,3,17.4
2,38,5,8,7,35,0,4,28.3
1,24,3,8,7,44,0,3,45.9
2,43,6,9,9,40,0,10,21.3
1,49,6,8,7,44,0,8,5.7
1,52,7,8,7,44,0,6,6.9
1,51,7,8,5,42,0,7,61.6
1,25,4,8,7,44,0,6,3.7
1,29,4,4,7,44,0,5,24.9
2,43,6,99,7,40,0,10,63.6
1,43,6,9,4,44,0,4,154.9
1,36,5,8,7,44,0,4,11.9
2,24,3,8,7,42,0,7,23.3
2,40,6,99,9,40,0,10,127.1
2,32,5,9,7,44,0,3,16.9
1,18,3,8,6,44,0,7,6.2
1,32,5,99,9,30,0,10,45.2
1,22,3,8,7,44,0,2,48.8
1,40,6,9,7,44,0,7,13.2
2,50,7,99,7,25,0,10,369.9
1,33,5,8,9,44,0,8,166.4
1,28,4,2,7,44,0,10,117.5
1,21,3,8,8,44,0,7,14.0
1,47,6,99,5,44,0,8,197.0
1,39,5,9,6,44,0,5,13.4
1,38,5,99,7,30,0,10,133.4
2,33,5,8,9,30,0,4,136.4
2,50,7,99,9,30,0,10,100.9
2,32,5,2,9,36,0,7,23.9
2,53,7,2,7,44,0,9,213.4
1,31,5,8,7,44,0,7,36.9
2,37,5,99,9,30,0,9,70.3
1,62,7,99,9,40,0,10,226.5
1,33,5,2,7,44,0,8,6.4
1,30,5,9,3,44,0,5,39.9
1,33,5,99,9,40,0,10,14.2
2,33,5,8,8,40,0,5,88.6
1,31,5,8,7,44,0,10,85.8
1,29,4,8,8,44,0,6,70.2
1,32,5,2,9,44,0,10,0.5
1,31,5,8,7,44,0,2,5.9
2,23,3,8,9,44,0,5,21.5
2,37,5,99,10,40,0,10,79.2
2,21,3,8,7,44,0,7,13.7
1,26,4,8,7,44,0,5,29.9
1,25,4,8,7,44,0,4,12.9
1,30,5,99,9,30,0,10,78.5
1,60,7,99,9,40,0,10,472.9
1,35,5,8,8,44,0,7,172.9
2,30,5,99,7,40,0,10,108.6
1,28,4,8,7,40,0,10,6.4
1,25,4,8,3,44,0,2,23.9
1,48,6,99,11,40,0,10,84.8
1,43,6,8,7,30,0,9,257.2
1,27,4,4,3,44,0,6,9.9
1,48,6,8,7,44,0,5,5.9
1,39,5,8,7,36,0,4,71.3
2,32,5,8,5,44,0,10,31.4
1,22,3,9,2,44,0,4,53.8
1,23,3,8,7,44,0,4,25.7
1,38,5,99,7,40,0,9,208.8
2,24,3,8,8,44,0,6,29.8
1,39,5,99,7,30,0,10,181.6
2,35,5,8,9,44,0,6,4.4
1,37,5,4,5,44,0,10,89.2
2,25,4,8,7,44,0,9,50.5
2,23,3,9,7,44,0,2,17.4
1,31,5,9,7,44,0,4,6.3
2,55,7,2,7,40,0,10,390.2
2,35,5,8,9,44,0,9,10.4
2,33,5,2,7,30,0,5,6.1
1,50,7,99,9,40,0,8,208.1
1,31,5,8,2,44,0,6,5.8
1,34,5,8,7,44,0,2,136.1
1,26,4,99,5,40,0,9,11.8
1,31,5,8,7,44,0,5,12.9
1,34,5,9,7,40,0,9,158.7
1,48,6,8,7,44,0,6,83.9
1,38,5,99,6,40,0,8,117.5
1,46,6,99,5,40,0,8,192.9
2,38,5,99,6,30,0,10,250.9
1,48,6,99,9,40,0,8,35.1
1,30,5,8,7,44,0,6,2.8
1,38,5,8,5,44,0,6,74.9
1,43,6,8,7,44,0,4,34.9
2,50,7,8,7,44,0,5,195.5
2,52,7,99,9,20,0,10,147.9
1,47,6,99,5,24,0,10,148.8
2,42,6,99,7,40,0,9,149.5
1,43,6,99,7,30,0,10,148.3
1,45,6,99,9,40,0,10,205.2
1,34,5,8,7,44,0,8,104.9
2,31,5,8,7,44,0,5,19.1
1,24,3,8,7,44,0,5,61.4
1,48,6,99,9,30,0,10,97.9
1,34,5,8,7,44,0,4,22.9
2,65,8,99,9,36,0,10,14.9
2,60,7,99,9,30,0,10,151.8
1,60,7,99,7,30,0,9,23.9
1,50,7,8,7,0,0,9,11.3
2,46,6,99,5,30,0,10,223.9
2,49,6,8,7,44,0,10,6.4
1,46,6,99,7,40,0,10,181.0
2,54,7,8,7,44,0,7,121.9
2,48,6,99,5,40,0,10,53.5
1,44,6,99,9,20,0,9,110.6
1,56,7,99,3,44,0,10,173.9
1,35,5,99,6,44,0,8,148.9
1,51,7,9,7,44,0,7,0.8
1,35,5,8,7,44,0,3,10.8
2,55,7,99,7,30,0,7,315.5
1,36,5,99,7,30,0,10,30.6
2,46,6,99,9,30,0,10,225.7
1,29,4,8,7,44,0,4,23.1
1,18,3,9,7,44,0,6,4.1
